"cardmarketId","quantity","name","set","setCode","cn","condition","language","isFirstEd","isReverseHolo","isSigned","price","comment","location","nameDE","nameES","nameFR","nameIT","rarity","listedAt"
"586924","7","Abomasnow","VMAX Climax","s8b","185","NM","Japanese","","","","1.9","","","Rexblisar [Toughness Boost | Mega Punch]","Abomasnow [Toughness Boost | Mega Punch]","Blizzaroi [Toughness Boost | Mega Punch]","Abomasnow [Toughness Boost | Mega Punch]","Character Rare",""
"559754","4","Abomasnow","Ultra Force","sm5+","004","NM","Japanese","","true","","0.49","","","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Fixed",""
"563405","13","Abomasnow","Red Flash","XY8r","022","NM","Japanese","true","","","0.43","","","Rexblisar [Ice Age | Frost Breath]","Abomasnow [Ice Age | Frost Breath]","Blizzaroi [Ice Age | Frost Breath]","Abomasnow [Ice Age | Frost Breath]","Uncommon",""
"550616","1","Abomasnow","GX Ultra Shiny","sm8b","026","NM","Japanese","","","","0.2","","","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Abomasnow [Blessings of the Frost | Hypno Hammer]","Fixed",""
"715483","3","Abomasnow","Paldea Evolved","PAL","011","NM","Italian","","","","0.15","","","Rexblisar [Freezing Disaster | Magnum Punch]","Abomasnow [Freezing Disaster | Magnum Punch]","Blizzaroi [Freezing Disaster | Magnum Punch]","Abomasnow [Freezing Disaster | Magnum Punch]","Rare",""
"746213","15","Abomasnow","Shiny Treasure ex","sv4a","011","NM","Japanese","","","","0.15","","","Rexblisar [Freezing Disaster | Magnum Punch]","Abomasnow [Freezing Disaster | Magnum Punch]","Blizzaroi [Freezing Disaster | Magnum Punch]","Abomasnow [Freezing Disaster | Magnum Punch]","Fixed",""
"674053","7","Abomasnow","Lost Origin","LOR","043","NM","Italian","","","","0.1","","","Rexblisar [Icicle Punch | Double Edge]","Abomasnow [Icicle Punch | Double Edge]","Blizzaroi [Icicle Punch | Double Edge]","Abomasnow [Icicle Punch | Double Edge]","Uncommon",""
"560418","2","Abomasnow","Silver Lance","s6h","002","NM","Japanese","","","","0.1","","","Rexblisar [Toughness Boost | Mega Punch]","Abomasnow [Toughness Boost | Mega Punch]","Blizzaroi [Toughness Boost | Mega Punch]","Abomasnow [Toughness Boost | Mega Punch]","Uncommon",""
"278310","1","Abomasnow Lv.42","Stormfront","STF","12","GD","Italian","","true","","1.5","","","Rexblisar Lv.42 [Snow Veil | Snow Play | Below Zero]","Abomasnow Lv.42 [Snow Veil | Snow Play | Below Zero]","Blizzaroi Lv.42 [Snow Veil | Snow Play | Below Zero]","Abomasnow Lv.42 [Snow Veil | Snow Play | Below Zero]","Rare",""
"548586","1","Abra","Expansion Sheet","EXS","","GD","Japanese","","","","14.98","","","Abra [Psychic Beam]","Abra [Psychic Beam]","Abra [Psychic Beam]","Abra [Psychic Beam]","Common",""
"747607","4","Abra","Shiny Treasure ex","sv4a","253","NM","Japanese","","","","3.43","","","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Shiny Rare",""
"837344","20","Abra","Pokémon Card 151: Additionals","xsv2a","063","NM","Japanese","","true","","0.36","","","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Common",""
"733658","2","Abra","151","MEW","063","NM","Italian","","true","","0.1","","","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Common",""
"733658","13","Abra","151","MEW","063","NM","Italian","","","","0.05","","","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Common",""
"769254","2","Abra","Twilight Masquerade","TWM","080","NM","Italian","","","","0.05","","","Abra [Teleporter | Beam]","Abra [Teleporter | Beam]","Abra [Teleporter | Beam]","Abra [Teleporter | Beam]","Common",""
"746455","16","Abra","Shiny Treasure ex","sv4a","073","NM","Japanese","","","","0.05","","","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Abra [Psyshot]","Fixed",""
"687753","1","Absol","VSTAR Universe","s12a","191","NM","Japanese","","","","3.75","","","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Illustration Rare",""
"558597","8","Absol","Dark Order","sm8a","023","NM","Japanese","","","","1.23","","","Absol [Dark Ambition | Shadow Seeker]","Absol [Dark Ambition | Shadow Seeker]","Absol [Dark Ambition | Shadow Seeker]","Absol [Dark Ambition | Shadow Seeker]","Rare",""
"609819","16","Absol","Battle Region","s9a","051","NM","Japanese","","","","0.15","","","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Rare",""
"780925","1","Absol","Shrouded Fable","SFA","030","NM","Italian","","","","0.05","","","Absol [Darkfall]","Absol [Darkfall]","Absol [Darkfall]","Absol [Darkfall]","Common",""
"687645","30","Absol","VSTAR Universe","s12a","083","NM","Japanese","","","","0.02","","","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Absol [Swirling Disaster | Claw Rend]","Fixed",""
"773813","2","Academy at Night","Night Wanderer","sv6a","064","NM","Japanese","","","","0.1","","","Akademie bei Nacht","Academia de Noche","Académie de Nuit","Accademia di Notte","Uncommon",""
"560251","1","Accelgor","Ultradimensional Beasts","sm4a","006","NM","Japanese","","","","0.76","","","Accelgor [Recover | Speed Attack]","Accelgor [Recover | Speed Attack]","Accelgor [Recover | Speed Attack]","Accelgor [Recover | Speed Attack]","Common",""
